32,32,43,40,59,76,103,109,115,118,126,147,160,162,167,187,193,224,216,231,252,286,283,286,300,297,323,317,331,356
32,2,35,3,14,22,21,13,2,37,14,1,37,0,15,9,10,19,15,9,8,3,19,0,0,13,22,18,18,24
24,45,38,84,112,108,129,166,184,209,237,236,276,258,288,310,343,342,382,393,405,439,462,472,476,507,518,553,567,589
27,6,9,5,13,21,11,16,3,14,17,8,10,39,12,38,11,24,31,16,13,23,0,25,24,7,6,6,14,14
20,43,31,46,50,79,64,113,105,112,135,143,166,171,174,190,200,232,230,224,266,255,276,293,283,306,318,318,341,345
13,16,45,41,73,81,97,116,145,144,154,180,183,188,216,215,252,256,256,305,283,313,321,345,356,399,369,392,419,425
26,48,94,139,181,211,255,277,324,369,422,437,484,528,568,615,644,686,730,780,809,842,885,934,959,1011,1055,1084,1127,1168
12,48,50,71,91,120,144,144,168,184,205,234,246,248,278,306,296,350,360,380,372,410,420,463,473,487,500,512,552,564
16,43,61,105,122,142,174,205,235,269,294,317,366,390,405,442,489,528,533,558,593,636,648,686,704,722,764,806,830,849
19,30,7,6,25,5,29,19,28,4,30,2,8,26,13,4,0,7,10,12,15,17,8,17,28,9,34,22,12,14
23,16,32,66,75,90,109,112,139,132,170,178,184,216,229,250,263,267,289,285,326,330,328,350,367,390,403,424,428,443
32,27,43,50,66,103,129,137,162,185,192,190,232,241,254,277,300,317,322,352,353,382,378,408,416,452,459,475,514,500
11,15,28,19,37,29,53,48,50,43,65,81,76,64,92,90,95,98,100,122,113,127,125,118,138,131,129,147,150,140
6,22,14,53,48,65,72,91,114,112,122,123,132,146,161,173,198,193,225,234,220,231,253,256,276,293,284,290,332,327
24,52,72,93,101,151,148,184,222,245,266,303,307,343,388,398,434,447,486,491,551,563,592,603,634,673,699,695,727,767
2,41,67,73,105,134,160,164,191,247,242,261,296,318,364,377,401,438,435,467,506,515,539,556,608,615,636,650,682,712
28,54,42,39,60,55,75,85,85,82,96,103,105,136,111,141,155,152,161,176,179,193,205,191,224,207,233,215,257,248
20,15,11,7,11,3,10,14,0,8,11,18,4,10,34,1,3,27,9,30,23,11,0,0,23,14,4,25,10,14
14,26,74,64,67,84,101,129,148,161,190,186,203,205,226,251,274,275,292,301,326,340,338,384,394,401,420,435,428,444
18,19,0,6,3,16,18,29,22,8,33,9,14,14,23,31,27,5,17,9,10,15,26,15,9,7,4,21,5,35
18,25,61,72,80,108,100,136,141,167,191,194,205,224,229,244,274,285,308,308,324,357,380,383,389,403,432,449,443,463
2,23,16,9,6,13,26,15,23,28,15,37,33,39,29,10,40,38,32,19,20,35,29,21,34,32,54,27,36,39
17,67,85,117,166,190,235,272,312,352,372,417,455,481,521,570,591,657,668,714,745,785,827,859,897,927,976,1001,1039,1082
22,22,29,0,10,20,8,16,24,21,35,0,29,13,12,18,20,6,19,20,32,16,28,0,24,26,26,12,36,12
5,32,22,40,62,78,75,94,89,94,108,112,121,147,165,170,162,199,192,188,221,221,244,222,265,270,279,286,298,302
25,32,79,119,158,185,181,225,256,278,323,326,386,421,443,460,496,533,555,588,622,654,690,730,746,765,810,805,868,888
0,15,34,31,38,28,51,47,32,73,70,66,75,82,84,91,98,105,96,116,121,104,118,133,120,128,160,161,146,157
2,25,72,69,91,102,142,156,175,208,218,260,269,285,305,323,338,348,388,407,406,453,447,493,511,520,541,586,594,614
0,37,53,58,60,76,79,96,118,99,117,147,168,180,183,181,198,212,230,234,255,253,255,285,283,307,305,298,347,349
11,4,14,15,30,19,10,26,6,20,24,8,10,17,7,13,24,0,2,29,15,26,33,32,21,19,21,17,18,11
