1,39,23,38,44,53,52,48,76,79,66,68,88,115,103,107,130,137,131,136,127,150,166,174,170,177,184,181,180,197
12,14,10,19,19,29,3,19,25,5,12,8,13,12,9,8,26,7,0,30,12,19,14,19,3,1,27,13,2,17
18,45,23,34,46,69,83,101,104,114,140,146,148,155,190,185,183,205,218,221,234,252,269,285,278,274,319,323,333,334
14,7,23,12,1,20,10,14,38,19,12,15,13,7,8,35,11,15,2,42,19,6,9,13,13,14,13,18,0,0
3,12,2,29,59,61,47,62,78,78,82,75,99,106,93,118,110,115,145,143,141,141,152,158,153,178,163,193,187,228
17,34,23,53,46,38,60,72,81,88,102,109,109,120,130,119,135,154,165,151,178,189,192,209,200,217,223,250,237,253
31,23,48,83,112,114,146,167,206,204,247,258,296,291,314,324,378,399,415,440,458,483,498,510,551,548,593,625,622,650
7,23,37,34,65,49,72,79,101,92,115,136,133,138,149,177,181,214,203,212,213,239,255,244,258,260,280,310,296,314
5,30,58,74,69,105,99,126,148,163,185,188,202,232,212,257,253,292,303,312,333,354,356,376,402,425,439,470,462,472
38,4,6,0,38,31,0,12,21,15,14,8,24,13,38,12,15,27,24,10,16,5,4,24,1,13,4,18,17,15
7,19,38,29,43,58,70,89,85,64,94,112,137,121,135,138,142,149,156,158,187,192,178,197,203,202,225,235,227,251
17,9,34,41,34,74,64,80,80,108,97,122,123,145,139,161,181,175,174,211,217,219,232,238,263,263,262,276,296,299
19,15,25,21,28,23,43,22,52,45,51,53,51,33,61,51,55,58,56,58,83,67,73,87,67,73,72,73,90,103
12,17,45,35,39,42,63,48,60,77,77,75,99,101,107,105,118,117,95,120,115,153,161,165,160,172,148,177,179,196
26,27,59,58,87,91,94,112,130,147,155,191,168,172,225,227,239,238,265,283,294,321,336,343,397,370,376,384,422,431
31,20,38,54,49,97,101,89,110,126,173,162,179,183,212,213,232,240,263,268,280,304,302,313,318,345,350,363,387,392
8,6,31,51,42,45,38,44,49,40,64,60,73,67,88,89,84,104,91,103,83,127,123,129,111,120,141,133,128,144
5,15,10,25,28,26,20,23,2,4,34,13,9,18,0,8,24,20,0,24,35,8,21,4,22,16,15,30,14,25
16,27,31,39,56,83,75,78,89,106,81,121,114,107,126,159,146,174,167,163,193,199,201,223,239,238,235,237,269,276
10,13,11,26,16,18,19,17,22,15,16,15,3,15,14,22,1,17,7,9,0,15,2,2,21,9,24,18,14,21
12,14,42,43,43,55,62,87,95,97,86,111,133,118,134,172,139,154,189,176,190,193,202,206,207,221,235,261,260,256
18,15,7,0,4,5,20,24,18,9,27,24,23,20,13,23,3,22,23,6,11,27,23,49,43,22,13,39,37,27
13,11,70,59,91,108,123,140,169,207,209,232,255,272,297,325,330,375,393,392,428,425,472,489,502,497,548,560,589,600
0,7,0,25,0,20,23,29,10,0,4,4,18,29,4,24,25,9,22,18,20,38,19,5,0,20,14,31,29,25
12,30,29,37,47,29,43,54,63,69,79,88,85,81,74,87,90,112,114,129,132,124,122,141,154,151,165,166,171,175
6,35,49,71,82,85,101,149,168,166,177,206,236,252,264,260,268,309,329,356,351,359,371,422,428,432,445,479,498,509
28,16,14,26,39,32,37,46,35,29,27,56,29,45,69,66,58,70,75,61,64,78,69,74,76,89,109,77,91,103
28,20,36,34,59,79,75,86,94,137,143,145,150,185,174,197,217,204,233,231,237,263,258,297,299,304,294,323,349,337
7,24,13,41,57,47,36,48,59,82,70,83,85,100,98,117,95,126,131,124,131,157,165,153,163,172,168,204,194,194
19,20,19,7,29,23,17,11,16,23,5,26,27,0,12,14,10,0,22,0,32,0,0,23,22,7,28,6,17,10
