0,33,27,7,12,14,25,8,5,41,22,13,21,28,8,10,13,0,22,10,37,32,20,22,29,25,24,31,22,45
15,1,16,21,29,26,3,13,18,29,16,26,23,6,13,0,22,32,18,20,11,25,26,22,38,26,15,24,17,7
19,18,8,18,26,8,10,24,5,6,19,13,16,29,43,13,4,43,22,21,15,20,0,29,35,18,18,25,12,23
13,19,7,22,6,42,26,0,21,17,11,10,21,15,27,5,19,20,22,6,18,1,27,25,14,17,5,0,18,7
9,20,13,31,8,6,26,12,21,7,20,15,11,16,24,32,13,19,20,4,9,39,8,32,17,23,5,25,12,27
9,12,20,6,28,21,11,27,26,29,15,7,17,20,20,24,21,26,23,22,39,2,15,15,42,6,16,26,26,19
13,26,14,20,17,19,28,17,15,13,23,29,21,39,44,24,24,16,31,20,14,24,23,39,42,16,29,42,39,33
17,15,22,6,25,9,21,9,0,10,16,1,13,18,16,16,24,15,32,23,4,12,18,28,36,20,39,10,2,27
0,26,15,13,30,8,44,19,29,11,4,27,0,7,23,42,19,21,23,12,19,28,24,34,24,31,23,27,16,17
15,0,16,6,20,14,32,22,15,17,18,15,42,8,5,7,15,0,16,14,28,0,8,9,15,9,16,24,2,20
12,7,19,20,19,12,36,18,25,31,9,18,15,14,18,7,1,10,17,28,7,5,34,9,11,17,10,37,29,33
33,8,31,15,26,21,8,18,12,17,6,26,18,20,22,6,13,12,10,19,20,21,28,11,10,30,14,29,5,20
20,26,36,15,0,15,18,14,10,15,30,8,23,0,25,19,0,5,8,20,12,31,14,22,21,22,16,14,11,17
11,9,22,15,9,23,10,20,21,25,2,34,2,17,3,22,33,22,43,15,18,34,36,0,4,5,20,0,31,18
17,24,25,27,18,19,0,25,24,22,11,29,0,27,34,29,23,29,39,34,46,15,15,17,29,19,43,18,15,15
2,17,30,2,17,1,16,14,17,18,22,18,13,13,20,0,15,15,15,0,29,37,35,20,17,18,33,40,19,20
12,0,32,4,16,13,4,6,7,29,26,5,19,10,21,16,22,22,11,15,14,26,9,10,25,18,23,11,13,20
21,15,8,20,9,17,10,0,6,25,0,6,9,15,20,33,7,0,11,6,0,17,25,14,24,0,18,15,11,18
31,6,14,5,12,26,13,28,20,10,19,31,0,1,23,34,12,0,30,25,23,0,30,21,21,22,40,28,7,31
4,22,0,27,10,2,21,12,18,27,3,30,12,18,16,12,20,33,26,23,7,6,0,16,30,6,20,12,8,0
23,9,12,14,19,33,36,33,28,10,14,26,10,22,23,19,21,0,13,0,0,42,33,31,25,28,18,24,28,23
11,15,24,27,2,8,5,8,9,16,10,20,5,18,12,25,34,3,0,0,17,42,5,14,15,15,25,2,16,4
13,24,13,25,15,18,0,20,37,10,0,10,40,11,41,3,25,26,26,11,23,35,28,34,16,34,36,14,40,35
27,0,3,19,7,26,15,3,0,12,21,7,9,17,0,14,9,4,1,8,3,11,9,12,4,29,9,19,21,3
12,16,20,25,18,10,15,17,11,11,11,29,14,27,26,35,2,0,19,12,14,22,23,6,6,19,33,11,17,17
8,11,9,5,26,7,31,22,0,8,15,18,17,32,17,18,24,34,36,15,16,21,24,27,12,24,28,24,22,29
0,17,7,19,28,9,22,26,24,3,7,12,14,27,21,30,26,8,0,9,32,5,12,8,1,20,3,28,24,18
0,5,25,15,26,0,8,15,18,16,10,22,37,21,38,15,14,0,16,2,12,11,19,13,7,40,25,12,48,22
11,22,8,28,16,8,16,29,18,29,14,21,8,35,16,9,11,12,20,30,22,28,18,24,21,29,31,0,15,0
1,5,26,14,2,36,20,8,18,15,27,16,5,5,21,11,2,0,0,15,10,6,11,21,21,7,31,9,6,8
